customer_id,customer_tier,customer_total_orders,customer_total_spend,customer_average_order_value,customer_average_discount,customer_conversion_rate,customer_age_days,customer_days_since_last_order
cust_4e5d5042,BRONZE,6.0,17168.25,2861.375,0.10132238004527433,0.5,622,71.0
cust_57020bdd,PLATINUM,5.0,7350.63,1470.126,0.183722269829361,0.625,800,129.0
cust_79ddb8e2,GOLD,2.0,4883.870000000001,2441.9350000000004,0.2702065915539952,0.25,662,64.0
cust_8c59fa3f,SILVER,3.0,7001.93,2333.976666666667,0.12409152608352171,0.5,917,140.0
cust_1cb64aaa,BRONZE,1.0,3776.1000000000004,3776.1000000000004,0.09412099044712875,0.14285714285714285,887,185.0
cust_88dc3738,BRONZE,5.0,16647.66,3329.532,0.10667441978943597,0.5,414,45.0
cust_56f06fa7,BRONZE,4.0,9683.61,2420.9025,0.09616030610313964,0.25,385,37.0
cust_1311cb1a,GOLD,2.0,3647.8700000000003,1823.9350000000002,0.1472156288306114,0.3333333333333333,659,235.0
cust_5fb65258,SILVER,8.0,19733.79,2466.72375,0.19103140183698086,0.5333333333333333,785,7.0
cust_6cd93739,GOLD,7.0,18161.300000000003,2594.471428571429,0.1405377957454718,0.6363636363636364,699,50.0
cust_f9e341c0,BRONZE,2.0,1907.58,953.79,0.1101536272094757,0.2,1010,245.0
cust_8bb8f56a,PLATINUM,5.0,15524.44,3104.888,0.14595672160875464,0.5555555555555556,767,13.0
cust_715a01aa,GOLD,6.0,19455.75,3242.625,0.16547523364796377,0.6,684,5.0
cust_c3571491,BRONZE,8.0,28680.86,3585.1075,0.10566398140952427,0.5714285714285714,1086,27.0
cust_a1d12aca,BRONZE,6.0,9260.45,1543.4083333333335,0.08757711468744046,0.35294117647058826,888,21.0
cust_5b9af17f,BRONZE,3.0,8884.36,2961.4533333333334,0.11227650573151521,0.2727272727272727,1092,46.0
cust_12b82827,BRONZE,3.0,3850.71,1283.57,0.10799773587776125,0.42857142857142855,956,145.0
cust_f4e1755e,SILVER,4.0,8551.35,2137.8375,0.1655463862492732,0.3333333333333333,599,153.0
cust_8035f667,SILVER,5.0,9004.98,1800.9959999999999,0.11949227969659298,0.3125,676,75.0
cust_faaa7a40,BRONZE,8.0,46703.96,5837.995,0.11303921792697183,0.5714285714285714,1008,17.0
cust_560682aa,SILVER,4.0,11597.67,2899.4175,0.10655241950631643,0.3333333333333333,856,15.0
cust_db6dac0a,BRONZE,4.0,4091.6699999999996,1022.9174999999999,0.13218528060669701,0.2857142857142857,1034,28.0
cust_fa1faded,BRONZE,5.0,10679.239999999998,2135.8479999999995,0.154059673895798,0.3333333333333333,504,55.0
cust_3e2b9a91,BRONZE,5.0,6105.64,1221.1280000000002,0.10491487684736177,0.45454545454545453,668,31.0
cust_35bcb900,SILVER,3.0,8125.46,2708.4866666666667,0.11837009419450688,0.21428571428571427,766,4.0
cust_f6647730,GOLD,3.0,1612.55,537.5166666666667,0.14420398478248397,0.3,559,39.0
cust_d1ed441a,BRONZE,6.0,29464.18,4910.696666666667,0.10830074020259474,0.4,573,57.0
cust_c0594b54,SILVER,2.0,2644.12,1322.06,0.1222454818893222,0.4,902,165.0
cust_709f2029,SILVER,0.0,0.0,0.0,0.08989090790092163,0.0,638,
cust_3dc20146,BRONZE,1.0,2436.44,2436.44,0.09464186117723397,0.25,605,233.0
cust_0b27ce82,SILVER,3.0,7464.95,2488.3166666666666,0.11643780278605918,0.25,427,29.0
cust_69492daf,BRONZE,5.0,19997.27,3999.454,0.09150361208689721,0.5,575,20.0
cust_4604301d,BRONZE,4.0,8681.28,2170.32,0.23529212843678926,0.6666666666666666,368,36.0
