order_id,customer_id,quotation_id,order_date,total_amount,status
ord_7b2b2265,cust_6449b0f4,quote_54ef1b58,2026-01-06 12:10:05.601026,2321.72,CONFIRMED
ord_c2e36065,cust_bc936013,quote_4dfedf73,2025-10-06 23:10:05.601026,373.25,CONFIRMED
ord_5d395fca,cust_b957ff58,quote_4b041447,2026-06-19 18:10:05.601026,3270.14,CONFIRMED
ord_556da0ec,cust_fa1faded,quote_5eb73df2,2025-11-08 11:10:05.601026,4391.5599999999995,CONFIRMED
ord_a7928ee7,cust_802f59e0,quote_582208c6,2026-08-10 21:10:05.601026,2709.7400000000002,CONFIRMED
ord_f6719826,cust_b2c27d93,quote_e6cd6420,2026-03-13 14:10:05.601026,6068.39,CONFIRMED
ord_712cf462,cust_5fb65258,quote_1f0e4079,2026-04-24 16:10:05.601026,707.86,CONFIRMED
ord_8ac1b099,cust_57020bdd,quote_48be5afb,2026-04-29 02:10:05.601026,1711.1799999999998,CONFIRMED
ord_07c05d5f,cust_405b3327,quote_e075f963,2026-07-22 08:10:05.601026,2397.7200000000003,CONFIRMED
ord_1e0e2970,cust_5e885041,quote_accc42d3,2026-05-05 10:10:05.601026,4235.92,CONFIRMED
ord_5f9072b2,cust_cf13c2af,quote_c579faca,2026-01-17 02:10:05.601026,447.34000000000003,CONFIRMED
ord_c78333f5,cust_4c4e219c,quote_c653e02d,2026-04-22 11:10:05.601026,2641.1400000000003,CONFIRMED
ord_ab1bedb3,cust_16c62d60,quote_2c0d9d95,2026-08-31 13:10:05.601026,1681.67,CONFIRMED
ord_7472e0a7,cust_5471fb8a,quote_803fecf5,2026-03-28 03:10:05.601026,2763.73,CONFIRMED
ord_444c7fed,cust_b8d41557,quote_5745977e,2025-12-29 20:10:05.601026,524.99,CONFIRMED
ord_8489f075,cust_56f06fa7,quote_8ecd306b,2026-02-03 10:10:05.601026,375.83,CONFIRMED
ord_77268ebe,cust_a1d12aca,quote_25ca35eb,2026-05-16 20:10:05.601026,2106.55,CONFIRMED
ord_a25bf153,cust_3880925b,quote_ead3c400,2025-10-20 15:10:05.601026,577.4100000000001,CONFIRMED
ord_84c8957d,cust_1311cb1a,quote_42ee16df,2026-01-12 15:10:05.601026,2437.3900000000003,CONFIRMED
ord_7cc3bf0a,cust_6cd93739,quote_001ce1be,2025-10-15 19:10:05.601026,794.3199999999999,CONFIRMED
ord_3b24fec8,cust_3f9d4565,quote_b6b0f373,2026-04-23 17:10:05.601026,732.3399999999999,CONFIRMED
ord_5d6f69b1,cust_7f9dd2bf,quote_3b9ffe8b,2026-04-14 22:10:05.601026,375.21,CONFIRMED
ord_423fa277,cust_322bbdef,quote_bc5facd1,2025-10-18 13:10:05.601026,2420.73,CONFIRMED
ord_db68d998,cust_1ba4a61c,quote_7b65001c,2025-10-18 22:10:05.601026,1341.7,CONFIRMED
ord_7a2581bf,cust_b8d41557,quote_ecd73996,2025-12-22 09:10:05.601026,1652.54,CONFIRMED
ord_e6c0db10,cust_5329889c,quote_6f5d5c09,2026-03-17 22:10:05.601026,1271.02,CONFIRMED
ord_0c328dcf,cust_db6dac0a,quote_717c58ea,2026-03-18 04:10:05.601026,519.1999999999999,CONFIRMED
ord_8be4eade,cust_db6dac0a,quote_5ff3cb2e,2026-08-07 16:10:05.601026,1243.02,CONFIRMED
ord_26b08e90,cust_4ba29bc8,quote_b14fb616,2026-02-27 02:10:05.601026,1932.38,CONFIRMED
ord_66181dae,cust_275958e1,quote_0f315245,2026-01-17 11:10:05.601026,6917.34,CONFIRMED
ord_6905e2bf,cust_5199088a,quote_47e9f4ea,2026-03-28 10:10:05.601026,1109.27,CONFIRMED
ord_3aac22a6,cust_94257e9c,quote_b41f74fd,2026-06-23 21:10:05.601026,4007.9,CONFIRMED
ord_348b016d,cust_8035f667,quote_de95be28,2025-09-23 00:10:05.601026,1401.1299999999999,CONFIRMED
ord_397271a5,cust_715a01aa,quote_a9de3004,2026-03-01 04:10:05.601026,2437.09,CONFIRMED
ord_cac1c271,cust_94257e9c,quote_6fffde49,2026-02-15 12:10:05.601026,648.1800000000001,CONFIRMED
ord_57a065d2,cust_36b3c9ac,quote_a676ed84,2026-02-20 08:10:05.601026,3463.13,CONFIRMED
ord_b2ea2dfc,cust_f6330c6d,quote_6b77b66a,2025-10-19 22:10:05.601026,560.7299999999999,CONFIRMED
ord_c97358e2,cust_898c54d5,quote_f08db9a6,2026-03-28 14:10:05.601026,2671.9,CONFIRMED
ord_4be4108f,cust_3dc20146,quote_bceb9095,2026-01-14 07:10:05.601026,2436.44,CONFIRMED
ord_f7cb4ece,cust_b4a9dca3,quote_fdb339c2,2026-07-12 21:10:05.601026,1885.32,CONFIRMED
ord_26ebd3ce,cust_1d7b20af,quote_85a00228,2026-03-19 22:10:05.601026,696.22,CONFIRMED
ord_49a40f4c,cust_a2b0c037,quote_86ffd571,2025-09-25 23:10:05.601026,174.85000000000002,CONFIRMED
ord_60d6e43e,cust_c56c6575,quote_b189062d,2026-02-09 03:10:05.601026,569.8100000000001,CONFIRMED
ord_d25778d4,cust_4ba29bc8,quote_d3187e85,2025-10-23 11:10:05.601026,1961.4499999999998,CONFIRMED
ord_f245b05b,cust_b8d41557,quote_588df152,2026-05-17 16:10:05.601026,4479.83,CONFIRMED
ord_3781ac6a,cust_3752d640,quote_96f5b9b1,2026-05-09 15:10:05.601026,1449.47,CONFIRMED
ord_763201cb,cust_802f59e0,quote_c1d1a952,2026-06-23 22:10:05.601026,1948.5700000000002,CONFIRMED
ord_572ff3f8,cust_fb37096e,quote_0580332a,2025-10-07 00:10:05.601026,3937.2999999999997,CONFIRMED
ord_cc19c970,cust_1ff5ebdc,quote_8ca7eae0,2026-06-06 09:10:05.601026,1090.5,CONFIRMED
ord_1e8c5495,cust_8c59fa3f,quote_d773024c,2026-01-10 20:10:05.601026,218.10999999999999,CONFIRMED
ord_b03a0229,cust_e5e2a4d0,quote_1dce41ac,2026-08-11 18:10:05.601026,1572.29,CONFIRMED
ord_ca16b273,cust_42587fc7,quote_5478d714,2026-04-09 04:10:05.601026,2373.63,CONFIRMED
ord_be8b153e,cust_843ab967,quote_b2686d27,2026-02-03 23:10:05.601026,1094.49,CONFIRMED
ord_d2fd8c2b,cust_1ff5ebdc,quote_768005bf,2026-02-06 01:10:05.601026,1918.33,CONFIRMED
ord_75810abe,cust_bc936013,quote_6f6135f7,2026-05-19 21:10:05.601026,324.20000000000005,CONFIRMED
ord_204b54c3,cust_1226e2b4,quote_2d6e85b1,2026-02-25 16:10:05.601026,443.64,CONFIRMED
ord_6c11b943,cust_215bbb49,quote_90c161c5,2026-06-25 03:10:05.601026,942.1600000000001,CONFIRMED
ord_36a4b579,cust_6bebe3ea,quote_7c921524,2026-05-08 17:10:05.601026,6607.91,CONFIRMED
ord_c57592d9,cust_61ea4e53,quote_deaee1c8,2026-01-29 14:10:05.601026,845.8499999999999,CONFIRMED
ord_c7ab1ee4,cust_16c62d60,quote_b50e9c19,2026-02-01 05:10:05.601026,860.34,CONFIRMED
ord_3c83bb0b,cust_405b3327,quote_4d898c29,2026-08-22 04:10:05.601026,206.57999999999998,CONFIRMED
ord_ab90525e,cust_b4a9dca3,quote_6d264b12,2026-07-04 00:10:05.601026,203.18,CONFIRMED
ord_8f705246,cust_898c54d5,quote_c5eb094a,2026-05-29 06:10:05.601026,480.56,CONFIRMED
ord_444eb549,cust_4ba29bc8,quote_2ac4aa4d,2026-06-18 21:10:05.601026,1582.24,CONFIRMED
ord_93eaf3a8,cust_fa1faded,quote_465440e5,2025-10-30 06:10:05.601026,271.62,CONFIRMED
ord_bcfa52c1,cust_3880925b,quote_558e24cc,2025-12-08 18:10:05.601026,1510.8700000000001,CONFIRMED
ord_fb27e606,cust_0b6086ec,quote_c4d53423,2025-11-24 21:10:05.601026,1815.76,CONFIRMED
ord_19ce2b63,cust_c3571491,quote_b7db2742,2025-10-28 18:10:05.601026,1176.77,CONFIRMED
